role,permission(action),description
Cloud Application Administrator,microsoft.directory/servicePrincipals/synchronization.cloudTenantToExternalSystem/credentials/manage,"Manage application provisioning secrets and credentials."
Cloud Application Administrator,microsoft.directory/servicePrincipals/synchronization.cloudTenantToExternalSystem/jobs/manage,"Start, restart, and pause application provisioning synchronization jobs."
Cloud Application Administrator,microsoft.directory/servicePrincipals/synchronization.cloudTenantToExternalSystem/schema/manage,"Create and manage application provisioning synchronization jobs and schema."
Cloud Application Administrator,microsoft.directory/servicePrincipals/synchronization/standard/read,"Read provisioning settings associated with your service principal"
Cloud Application Administrator,microsoft.directory/servicePrincipals/synchronizationCredentials/manage,"Manage application provisioning secrets and credentials"
Cloud Application Administrator,microsoft.directory/servicePrincipals/synchronizationJobs/manage,"Start, restart, and pause application provisioning synchronization jobs"
Cloud Application Administrator,microsoft.directory/servicePrincipals/synchronizationSchema/manage,"Create and manage application provisioning synchronization jobs and schema"
Cloud Application Administrator,microsoft.directory/servicePrincipals/tag/update,"Update the tag property for service principals"
Cloud Application Administrator,microsoft.directory/signInReports/allProperties/read,"Read all properties on sign-in reports, including privileged properties"
Cloud Application Administrator,microsoft.office365.serviceHealth/allEntities/allTasks,"Read and configure Service Health in the Microsoft 365 admin center"
Cloud Application Administrator,microsoft.office365.supportTickets/allEntities/allTasks,"Create and manage Microsoft 365 service requests"
Cloud Application Administrator,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
Cloud Device Administrator,microsoft.azure.serviceHealth/allEntities/allTasks,"Read and configure Azure Service Health"
Cloud Device Administrator,microsoft.directory/auditLogs/allProperties/read,"Read all properties on audit logs, excluding custom security attributes audit logs"
Cloud Device Administrator,microsoft.directory/authorizationPolicy/standard/read,"Read standard properties of authorization policy"
Cloud Device Administrator,microsoft.directory/bitlockerKeys/key/read,"Read bitlocker metadata and key on devices"
Cloud Device Administrator,microsoft.directory/deletedItems.devices/delete,"Permanently delete devices, which can no longer be restored"
Cloud Device Administrator,microsoft.directory/deletedItems.devices/restore,"Restore soft deleted devices to original state"
Cloud Device Administrator,microsoft.directory/deviceLocalCredentials/password/read,"Read all properties of the backed up local administrator account credentials for Microsoft Entra joined devices, including the password"
Cloud Device Administrator,microsoft.directory/deviceManagementPolicies/basic/update,"Update basic properties on mobile device management and mobile app management policies"
Cloud Device Administrator,microsoft.directory/deviceManagementPolicies/standard/read,"Read standard properties on mobile device management and mobile app management policies"
Cloud Device Administrator,microsoft.directory/deviceRegistrationPolicy/basic/update,"Update basic properties on device registration policies"
Cloud Device Administrator,microsoft.directory/deviceRegistrationPolicy/standard/read,"Read standard properties on device registration policies"
Cloud Device Administrator,microsoft.directory/devices/delete,"Delete devices from Microsoft Entra ID"
Cloud Device Administrator,microsoft.directory/devices/disable,"Disable devices in Microsoft Entra ID"
Cloud Device Administrator,microsoft.directory/devices/enable,"Enable devices in Microsoft Entra ID"
Cloud Device Administrator,microsoft.directory/devices/permissions/update,"Update the alternative name property on an IoT device"
Cloud Device Administrator,microsoft.directory/deviceTemplates/owners/read,"Read owners on Internet of Things (IoT) device templates"
Cloud Device Administrator,microsoft.directory/deviceTemplates/owners/update,"Update owners on Internet of Things (IoT) device templates"
Cloud Device Administrator,microsoft.directory/signInReports/allProperties/read,"Read all properties on sign-in reports, including privileged properties"
Cloud Device Administrator,microsoft.office365.serviceHealth/allEntities/allTasks,"Read and configure Service Health in the Microsoft 365 admin center"
Compliance Administrator,microsoft.azure.serviceHealth/allEntities/allTasks,"Read and configure Azure Service Health"
Compliance Administrator,microsoft.azure.supportTickets/allEntities/allTasks,"Create and manage Azure support tickets"
Compliance Administrator,microsoft.directory/entitlementManagement/allProperties/read,"Read all properties in Microsoft Entra entitlement management"
