role,permission(action),description
Security Administrator,microsoft.directory/crossTenantAccessPolicy/partners/templates/multiTenantOrganizationPartnerConfiguration/standard/read,"Read basic properties of cross tenant access policy templates for multi-tenant organization"
Security Administrator,microsoft.directory/crossTenantAccessPolicy/partners/tenantRestrictions/update,"Update tenant restrictions of cross-tenant access policy for partners"
Security Administrator,microsoft.directory/crossTenantAccessPolicy/standard/read,"Read basic properties of cross-tenant access policy"
Security Administrator,microsoft.directory/deviceLocalCredentials/standard/read,"Read all properties of the backed up local administrator account credentials for Microsoft Entra joined devices, except the password"
Security Administrator,microsoft.directory/domains/federation/update,"Update federation property of domains"
Security Administrator,microsoft.directory/domains/federationConfiguration/basic/update,"Update basic federation configuration for domains"
Security Administrator,microsoft.directory/domains/federationConfiguration/create,"Create federation configuration for domains"
Security Administrator,microsoft.directory/domains/federationConfiguration/delete,"Delete federation configuration for domains"
Security Administrator,microsoft.directory/domains/federationConfiguration/standard/read,"Read standard properties of federation configuration for domains"
Security Administrator,microsoft.directory/entitlementManagement/allProperties/read,"Read all properties in Microsoft Entra entitlement management"
Security Administrator,microsoft.directory/identityProtection/allProperties/read,"Read all resources in Microsoft Entra ID Protection"
Security Administrator,microsoft.directory/identityProtection/allProperties/update,"Update all resources in Microsoft Entra ID Protection"
Security Administrator,microsoft.directory/multiTenantOrganization/basic/update,"Update basic properties of a multi-tenant organization"
Security Administrator,microsoft.directory/multiTenantOrganization/create,"Create a multi-tenant organization"
Security Administrator,microsoft.directory/multiTenantOrganization/joinRequest/organizationDetails/update,"Join a multi-tenant organization"
Security Administrator,microsoft.directory/multiTenantOrganization/joinRequest/standard/read,"Read properties of a multi-tenant organization join request"
Security Administrator,microsoft.directory/multiTenantOrganization/standard/read,"Read basic properties of a multi-tenant organization"
Security Administrator,microsoft.directory/multiTenantOrganization/tenants/create,"Create a tenant in a multi-tenant organization"
Security Administrator,microsoft.directory/multiTenantOrganization/tenants/delete,"Delete a tenant participating in a multi-tenant organization"
Security Administrator,microsoft.directory/multiTenantOrganization/tenants/organizationDetails/read,"Read organization details of a tenant participating in a multi-tenant organization"
Security Administrator,microsoft.directory/multiTenantOrganization/tenants/organizationDetails/update,"Update basic properties of a tenant participating in a multi-tenant organization"
Security Administrator,microsoft.directory/multiTenantOrganization/tenants/standard/read,"Read basic properties of a tenant participating in a multi-tenant organization"
Security Administrator,microsoft.directory/namedLocations/basic/update,"Update basic properties of custom rules that define network locations"
Security Administrator,microsoft.directory/namedLocations/create,"Create custom rules that define network locations"
Security Administrator,microsoft.directory/namedLocations/delete,"Delete custom rules that define network locations"
Security Administrator,microsoft.directory/namedLocations/standard/read,"Read basic properties of custom rules that define network locations"
Security Administrator,microsoft.directory/policies/basic/update,"Update basic properties on policies"
Security Administrator,microsoft.directory/policies/create,"Create policies in Microsoft Entra ID"
Security Administrator,microsoft.directory/policies/delete,"Delete policies in Microsoft Entra ID"
Security Administrator,microsoft.directory/policies/owners/update,"Update owners of policies"
Security Administrator,microsoft.directory/policies/tenantDefault/update,"Update default organization policies"
Security Administrator,microsoft.directory/privilegedIdentityManagement/allProperties/read,"Read all resources in Privileged Identity Management"
Security Administrator,microsoft.directory/provisioningLogs/allProperties/read,"Read all properties of provisioning logs"
Security Administrator,microsoft.directory/resourceNamespaces/resourceActions/authenticationContext/update,"Update Conditional Access authentication context of Microsoft 365 role-based access control (RBAC) resource actions"
Security Administrator,microsoft.directory/servicePrincipals/policies/update,"Update policies of service principals"
Security Administrator,microsoft.directory/signInReports/allProperties/read,"Read all properties on sign-in reports, including privileged properties"
Security Administrator,microsoft.networkAccess/allEntities/allProperties/allTasks,"Manage all aspects of Microsoft Entra Network Access"
Security Administrator,microsoft.office365.protectionCenter/allEntities/basic/update,"Update basic properties of all resources in the Security and Compliance centers"
Security Administrator,microsoft.office365.protectionCenter/allEntities/standard/read,"Read standard properties of all resources in the Security and Compliance centers"
Security Administrator,microsoft.office365.protectionCenter/attackSimulator/payload/allProperties/allTasks,"Create and manage attack payloads in Attack Simulator"
Security Administrator,microsoft.office365.protectionCenter/attackSimulator/reports/allProperties/read,"Read reports of attack simulation, responses, and associated training"
Security Administrator,microsoft.office365.protectionCenter/attackSimulator/simulation/allProperties/allTasks,"Create and manage attack simulation templates in Attack Simulator"
Security Administrator,microsoft.office365.serviceHealth/allEntities/allTasks,"Read and configure Service Health in the Microsoft 365 admin center"
Security Administrator,microsoft.office365.supportTickets/allEntities/allTasks,"Create and manage Microsoft 365 service requests"
Security Administrator,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
Security Operator,microsoft.azure.advancedThreatProtection/allEntities/allTasks,"Manage all aspects of Azure Advanced Threat Protection"
Security Operator,microsoft.azure.supportTickets/allEntities/allTasks,"Create and manage Azure support tickets"
Security Operator,microsoft.directory/auditLogs/allProperties/read,"Read all properties on audit logs, excluding custom security attributes audit logs"
Security Operator,microsoft.directory/authorizationPolicy/standard/read,"Read standard properties of authorization policy"
Security Operator,microsoft.directory/cloudAppSecurity/allProperties/allTasks,"Create and delete all resources, and read and update standard properties in Microsoft Defender for Cloud Apps"
Security Operator,microsoft.directory/identityProtection/allProperties/allTasks,"Create and delete all resources, and read and update standard properties in Microsoft Entra ID Protection"
Security Operator,microsoft.directory/privilegedIdentityManagement/allProperties/read,"Read all resources in Privileged Identity Management"
Security Operator,microsoft.directory/provisioningLogs/allProperties/read,"Read all properties of provisioning logs"
Security Operator,microsoft.directory/signInReports/allProperties/read,"Read all properties on sign-in reports, including privileged properties"
Security Operator,microsoft.intune/allEntities/read,"Read all resources in Microsoft Intune"
Security Operator,microsoft.office365.securityComplianceCenter/allEntities/allTasks,"Create and delete all resources, and read and update standard properties in the Microsoft 365 Security and Compliance Center"
Security Operator,microsoft.office365.supportTickets/allEntities/allTasks,"Create and manage Microsoft 365 service requests"
Security Operator,microsoft.windows.defenderAdvancedThreatProtection/allEntities/allTasks,"Manage all aspects of Microsoft Defender for Endpoint"
Security Reader,microsoft.azure.serviceHealth/allEntities/allTasks,"Read and configure Azure Service Health"
Security Reader,microsoft.directory/accessReviews/definitions/allProperties/read,"Read all properties of access reviews of all reviewable resources in Microsoft Entra ID"
Security Reader,microsoft.directory/auditLogs/allProperties/read,"Read all properties on audit logs, excluding custom security attributes audit logs"
Security Reader,microsoft.directory/authorizationPolicy/standard/read,"Read standard properties of authorization policy"
Security Reader,microsoft.directory/bitlockerKeys/key/read,"Read bitlocker metadata and key on devices"
Security Reader,microsoft.directory/conditionalAccessPolicies/owners/read,"Read the owners of Conditional Access policies"
Security Reader,microsoft.directory/conditionalAccessPolicies/policyAppliedTo/read,"Read the ""applied to"" property for Conditional Access policies"
Security Reader,microsoft.directory/conditionalAccessPolicies/standard/read,"Read Conditional Access for policies"
Security Reader,microsoft.directory/crossTenantAccessPolicy/partners/templates/multiTenantOrganizationIdentitySynchronization/standard/read,"Read basic properties of cross tenant sync policy templates for multi-tenant organization"
Security Reader,microsoft.directory/crossTenantAccessPolicy/partners/templates/multiTenantOrganizationPartnerConfiguration/standard/read,"Read basic properties of cross tenant access policy templates for multi-tenant organization"
Security Reader,microsoft.directory/deviceLocalCredentials/standard/read,"Read all properties of the backed up local administrator account credentials for Microsoft Entra joined devices, except the password"
Security Reader,microsoft.directory/domains/federationConfiguration/standard/read,"Read standard properties of federation configuration for domains"
Security Reader,microsoft.directory/entitlementManagement/allProperties/read,"Read all properties in Microsoft Entra entitlement management"
Security Reader,microsoft.directory/identityProtection/allProperties/read,"Read all resources in Microsoft Entra ID Protection"
Security Reader,microsoft.directory/multiTenantOrganization/joinRequest/standard/read,"Read properties of a multi-tenant organization join request"
Security Reader,microsoft.directory/multiTenantOrganization/standard/read,"Read basic properties of a multi-tenant organization"
Security Reader,microsoft.directory/multiTenantOrganization/tenants/organizationDetails/read,"Read organization details of a tenant participating in a multi-tenant organization"
Security Reader,microsoft.directory/multiTenantOrganization/tenants/standard/read,"Read basic properties of a tenant participating in a multi-tenant organization"
Security Reader,microsoft.directory/namedLocations/standard/read,"Read basic properties of custom rules that define network locations"
Security Reader,microsoft.directory/policies/owners/read,"Read owners of policies"
Security Reader,microsoft.directory/policies/policyAppliedTo/read,"Read policies.policyAppliedTo property"
Security Reader,microsoft.directory/policies/standard/read,"Read basic properties on policies"
Security Reader,microsoft.directory/privilegedIdentityManagement/allProperties/read,"Read all resources in Privileged Identity Management"
Security Reader,microsoft.directory/provisioningLogs/allProperties/read,"Read all properties of provisioning logs"
Security Reader,microsoft.directory/signInReports/allProperties/read,"Read all properties on sign-in reports, including privileged properties"
Security Reader,microsoft.networkAccess/allEntities/allProperties/read,"Read all aspects of Microsoft Entra Network Access"
Security Reader,microsoft.office365.protectionCenter/allEntities/standard/read,"Read standard properties of all resources in the Security and Compliance centers"
Security Reader,microsoft.office365.protectionCenter/attackSimulator/payload/allProperties/read,"Read all properties of attack payloads in Attack Simulator"
Security Reader,microsoft.office365.protectionCenter/attackSimulator/reports/allProperties/read,"Read reports of attack simulation, responses, and associated training"
Security Reader,microsoft.office365.protectionCenter/attackSimulator/simulation/allProperties/read,"Read all properties of attack simulation templates in Attack Simulator"
Security Reader,microsoft.office365.serviceHealth/allEntities/allTasks,"Read and configure Service Health in the Microsoft 365 admin center"
Security Reader,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
Service Support Administrator,microsoft.azure.serviceHealth/allEntities/allTasks,"Read and configure Azure Service Health"
Service Support Administrator,microsoft.azure.supportTickets/allEntities/allTasks,"Create and manage Azure support tickets"
Service Support Administrator,microsoft.office365.network/performance/allProperties/read,"Read all network performance properties in the Microsoft 365 admin center"
Service Support Administrator,microsoft.office365.serviceHealth/allEntities/allTasks,"Read and configure Service Health in the Microsoft 365 admin center"
Service Support Administrator,microsoft.office365.supportTickets/allEntities/allTasks,"Create and manage Microsoft 365 service requests"
Service Support Administrator,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
SharePoint Administrator,microsoft.azure.serviceHealth/allEntities/allTasks,"Read and configure Azure Service Health"
SharePoint Administrator,microsoft.azure.supportTickets/allEntities/allTasks,"Create and manage Azure support tickets"
SharePoint Administrator,microsoft.backup/oneDriveForBusinessProtectionPolicies/allProperties/allTasks,"Create and manage OneDrive protection policy in Microsoft 365 Backup"
SharePoint Administrator,microsoft.backup/oneDriveForBusinessRestoreSessions/allProperties/allTasks,"Read and configure restore session for OneDrive in Microsoft 365 Backup"
SharePoint Administrator,microsoft.backup/restorePoints/sites/allProperties/allTasks,"Manage all restore points associated with selected SharePoint sites in M365 Backup"
SharePoint Administrator,microsoft.backup/restorePoints/userDrives/allProperties/allTasks,"Manage all restore points associated with selected OneDrive accounts in M365 Backup"
SharePoint Administrator,microsoft.backup/sharePointProtectionPolicies/allProperties/allTasks,"Create and manage SharePoint protection policy in Microsoft 365 Backup"
SharePoint Administrator,microsoft.backup/sharePointRestoreSessions/allProperties/allTasks,"Read and configure restore session for SharePoint in Microsoft 365 Backup"
SharePoint Administrator,microsoft.backup/siteProtectionUnits/allProperties/allTasks,"Manage sites added to SharePoint protection policy in Microsoft 365 Backup"
SharePoint Administrator,microsoft.backup/siteRestoreArtifacts/allProperties/allTasks,"Manage sites added to restore session for SharePoint in Microsoft 365 Backup"
SharePoint Administrator,microsoft.backup/userDriveProtectionUnits/allProperties/allTasks,"Manage accounts added to OneDrive protection policy in Microsoft 365 Backup"
SharePoint Administrator,microsoft.backup/userDriveRestoreArtifacts/allProperties/allTasks,"Manage accounts added to restore session for OneDrive in Microsoft 365 Backup"
SharePoint Administrator,microsoft.directory/groups.unified/assignedLabels/update,"Update the assigned labels property on Microsoft 365 groups of assigned membership type, excluding role-assignable groups"
SharePoint Administrator,microsoft.directory/groups.unified/basic/update,"Update basic properties on Microsoft 365 groups, excluding role-assignable groups"
SharePoint Administrator,microsoft.directory/groups.unified/create,"Create Microsoft 365 groups, excluding role-assignable groups"
SharePoint Administrator,microsoft.directory/groups.unified/delete,"Delete Microsoft 365 groups, excluding role-assignable groups"
SharePoint Administrator,microsoft.directory/groups.unified/members/update,"Update members of Microsoft 365 groups, excluding role-assignable groups"
SharePoint Administrator,microsoft.directory/groups.unified/owners/update,"Update owners of Microsoft 365 groups, excluding role-assignable groups"
SharePoint Administrator,microsoft.directory/groups.unified/restore,"Restore Microsoft 365 groups from soft-deleted container, excluding role-assignable groups"
SharePoint Administrator,microsoft.directory/groups/hiddenMembers/read,"Read hidden members of Security groups and Microsoft 365 groups, including role-assignable groups"
SharePoint Administrator,microsoft.office365.migrations/allEntities/allProperties/allTasks,"Manage all aspects of Microsoft 365 migrations"
SharePoint Administrator,microsoft.office365.network/performance/allProperties/read,"Read all network performance properties in the Microsoft 365 admin center"
SharePoint Administrator,microsoft.office365.serviceHealth/allEntities/allTasks,"Read and configure Service Health in the Microsoft 365 admin center"
SharePoint Administrator,microsoft.office365.sharePoint/allEntities/allTasks,"Create and delete all resources, and read and update standard properties in SharePoint"
SharePoint Administrator,microsoft.office365.supportTickets/allEntities/allTasks,"Create and manage Microsoft 365 service requests"
SharePoint Administrator,microsoft.office365.usageReports/allEntities/allProperties/read,"Read Office 365 usage reports"
SharePoint Administrator,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
SharePoint Embedded Administrator,microsoft.office365.fileStorageContainers/allEntities/allProperties/allTasks,"Manage all aspects of SharePoint Embedded containers"
SharePoint Embedded Administrator,microsoft.office365.network/performance/allProperties/read,"Read all network performance properties in the Microsoft 365 admin center"
SharePoint Embedded Administrator,microsoft.office365.serviceHealth/allEntities/allTasks,"Read and configure Service Health in the Microsoft 365 admin center"
SharePoint Embedded Administrator,microsoft.office365.supportTickets/allEntities/allTasks,"Create and manage Microsoft 365 service requests"
SharePoint Embedded Administrator,microsoft.office365.usageReports/allEntities/allProperties/read,"Read Office 365 usage reports"
SharePoint Embedded Administrator,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
Skype for Business Administrator,microsoft.azure.serviceHealth/allEntities/allTasks,"Read and configure Azure Service Health"
Skype for Business Administrator,microsoft.azure.supportTickets/allEntities/allTasks,"Create and manage Azure support tickets"
Skype for Business Administrator,microsoft.office365.serviceHealth/allEntities/allTasks,"Read and configure Service Health in the Microsoft 365 admin center"
Skype for Business Administrator,microsoft.office365.skypeForBusiness/allEntities/allTasks,"Manage all aspects of Skype for Business Online"
Skype for Business Administrator,microsoft.office365.supportTickets/allEntities/allTasks,"Create and manage Microsoft 365 service requests"
Skype for Business Administrator,microsoft.office365.usageReports/allEntities/allProperties/read,"Read Office 365 usage reports"
Skype for Business Administrator,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
Teams Administrator,microsoft.azure.serviceHealth/allEntities/allTasks,"Read and configure Azure Service Health"
Teams Administrator,microsoft.azure.supportTickets/allEntities/allTasks,"Create and manage Azure support tickets"
Teams Administrator,microsoft.directory/authorizationPolicy/standard/read,"Read standard properties of authorization policy"
Teams Administrator,microsoft.directory/crossTenantAccessPolicy/allowedCloudEndpoints/update,"Update allowed cloud endpoints of cross-tenant access policy"
Teams Administrator,microsoft.directory/crossTenantAccessPolicy/default/crossCloudMeetings/update,"Update cross-cloud Teams meeting settings of the default cross-tenant access policy"
Teams Administrator,microsoft.directory/crossTenantAccessPolicy/default/standard/read,"Read basic properties of the default cross-tenant access policy"
Teams Administrator,microsoft.directory/crossTenantAccessPolicy/partners/create,"Create cross-tenant access policy for partners"
Teams Administrator,microsoft.directory/crossTenantAccessPolicy/partners/crossCloudMeetings/update,"Update cross-cloud Teams meeting settings of cross-tenant access policy for partners"
Teams Administrator,microsoft.directory/crossTenantAccessPolicy/partners/standard/read,"Read basic properties of cross-tenant access policy for partners"
Teams Administrator,microsoft.directory/crossTenantAccessPolicy/standard/read,"Read basic properties of cross-tenant access policy"
Teams Administrator,microsoft.directory/externalUserProfiles/basic/update,"Update basic properties of external user profiles in the extended directory for Teams"
Teams Administrator,microsoft.directory/externalUserProfiles/delete,"Delete external user profiles in the extended directory for Teams"
Teams Administrator,microsoft.directory/externalUserProfiles/standard/read,"Read standard properties of external user profiles in the extended directory for Teams"
Teams Administrator,microsoft.directory/groups.unified/assignedLabels/update,"Update the assigned labels property on Microsoft 365 groups of assigned membership type, excluding role-assignable groups"
Teams Administrator,microsoft.directory/groups.unified/basic/update,"Update basic properties on Microsoft 365 groups, excluding role-assignable groups"
Teams Administrator,microsoft.directory/groups.unified/create,"Create Microsoft 365 groups, excluding role-assignable groups"
Teams Administrator,microsoft.directory/groups.unified/delete,"Delete Microsoft 365 groups, excluding role-assignable groups"
Teams Administrator,microsoft.directory/groups.unified/members/update,"Update members of Microsoft 365 groups, excluding role-assignable groups"
Teams Administrator,microsoft.directory/groups.unified/owners/update,"Update owners of Microsoft 365 groups, excluding role-assignable groups"
Teams Administrator,microsoft.directory/groups.unified/restore,"Restore Microsoft 365 groups from soft-deleted container, excluding role-assignable groups"
Teams Administrator,microsoft.directory/groups/hiddenMembers/read,"Read hidden members of Security groups and Microsoft 365 groups, including role-assignable groups"
Teams Administrator,microsoft.directory/pendingExternalUserProfiles/basic/update,"Update basic properties of external user profiles in the extended directory for Teams"
Teams Administrator,microsoft.directory/pendingExternalUserProfiles/create,"Create external user profiles in the extended directory for Teams"
Teams Administrator,microsoft.directory/pendingExternalUserProfiles/delete,"Delete external user profiles in the extended directory for Teams"
Teams Administrator,microsoft.directory/pendingExternalUserProfiles/standard/read,"Read standard properties of external user profiles in the extended directory for Teams"
Teams Administrator,microsoft.directory/permissionGrantPolicies/standard/read,"Read standard properties of permission grant policies"
Teams Administrator,microsoft.office365.network/performance/allProperties/read,"Read all network performance properties in the Microsoft 365 admin center"
Teams Administrator,microsoft.office365.serviceHealth/allEntities/allTasks,"Read and configure Service Health in the Microsoft 365 admin center"
Teams Administrator,microsoft.office365.skypeForBusiness/allEntities/allTasks,"Manage all aspects of Skype for Business Online"
Teams Administrator,microsoft.office365.supportTickets/allEntities/allTasks,"Create and manage Microsoft 365 service requests"
Teams Administrator,microsoft.office365.usageReports/allEntities/allProperties/read,"Read Office 365 usage reports"
Teams Administrator,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
Teams Administrator,microsoft.teams/allEntities/allProperties/allTasks,"Manage all resources in Teams"
Teams Communications Administrator,microsoft.azure.serviceHealth/allEntities/allTasks,"Read and configure Azure Service Health"
Teams Communications Administrator,microsoft.azure.supportTickets/allEntities/allTasks,"Create and manage Azure support tickets"
Teams Communications Administrator,microsoft.directory/authorizationPolicy/standard/read,"Read standard properties of authorization policy"
Teams Communications Administrator,microsoft.office365.serviceHealth/allEntities/allTasks,"Read and configure Service Health in the Microsoft 365 admin center"
Teams Communications Administrator,microsoft.office365.skypeForBusiness/allEntities/allTasks,"Manage all aspects of Skype for Business Online"
Teams Communications Administrator,microsoft.office365.supportTickets/allEntities/allTasks,"Create and manage Microsoft 365 service requests"
Teams Communications Administrator,microsoft.office365.usageReports/allEntities/allProperties/read,"Read Office 365 usage reports"
Teams Communications Administrator,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
Teams Communications Administrator,microsoft.teams/callQuality/allProperties/read,"Read all data in the Call Quality Dashboard (CQD)"
Teams Communications Administrator,microsoft.teams/meetings/allProperties/allTasks,"Manage meetings including meeting policies, configurations, and conference bridges"
Teams Communications Administrator,microsoft.teams/voice/allProperties/allTasks,"Manage voice including calling policies and phone number inventory and assignment"
Teams Communications Support Engineer,microsoft.azure.serviceHealth/allEntities/allTasks,"Read and configure Azure Service Health"
Teams Communications Support Engineer,microsoft.directory/authorizationPolicy/standard/read,"Read standard properties of authorization policy"
Teams Communications Support Engineer,microsoft.office365.serviceHealth/allEntities/allTasks,"Read and configure Service Health in the Microsoft 365 admin center"
Teams Communications Support Engineer,microsoft.office365.skypeForBusiness/allEntities/allTasks,"Manage all aspects of Skype for Business Online"
Teams Communications Support Engineer,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
Teams Communications Support Engineer,microsoft.teams/callQuality/allProperties/read,"Read all data in the Call Quality Dashboard (CQD)"
Teams Communications Support Specialist,microsoft.azure.serviceHealth/allEntities/allTasks,"Read and configure Azure Service Health"
Teams Communications Support Specialist,microsoft.directory/authorizationPolicy/standard/read,"Read standard properties of authorization policy"
Teams Communications Support Specialist,microsoft.office365.serviceHealth/allEntities/allTasks,"Read and configure Service Health in the Microsoft 365 admin center"
Teams Communications Support Specialist,microsoft.office365.skypeForBusiness/allEntities/allTasks,"Manage all aspects of Skype for Business Online"
Teams Communications Support Specialist,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
Teams Communications Support Specialist,microsoft.teams/callQuality/standard/read,"Read basic data in the Call Quality Dashboard (CQD)"
Teams Devices Administrator,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
Teams Devices Administrator,microsoft.teams/devices/standard/read,"Manage all aspects of Teams-certified devices including configuration policies"
Teams Reader,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
Teams Reader,microsoft.teams/allEntities/allProperties/read,"Read all properties of Microsoft Teams"
Teams Telephony Administrator,microsoft.azure.serviceHealth/allEntities/allTasks,"Read and configure Azure Service Health"
Teams Telephony Administrator,microsoft.azure.supportTickets/allEntities/allTasks,"Create and manage Azure support tickets"
Teams Telephony Administrator,microsoft.directory/authorizationPolicy/standard/read,"Read standard properties of authorization policy"
Teams Telephony Administrator,microsoft.office365.serviceHealth/allEntities/allTasks,"Read and configure Service Health in the Microsoft 365 admin center"
Teams Telephony Administrator,microsoft.office365.skypeForBusiness/allEntities/allTasks,"Manage all aspects of Skype for Business Online"
Teams Telephony Administrator,microsoft.office365.supportTickets/allEntities/allTasks,"Create and manage Microsoft 365 service requests"
Teams Telephony Administrator,microsoft.office365.usageReports/allEntities/allProperties/read,"Read Office 365 usage reports"
Teams Telephony Administrator,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
Teams Telephony Administrator,microsoft.teams/callQuality/allProperties/read,"Read all data in the Call Quality Dashboard (CQD)"
Teams Telephony Administrator,microsoft.teams/voice/allProperties/allTasks,"Manage voice including calling policies and phone number inventory and assignment"
Tenant Creator,microsoft.directory/tenantManagement/tenants/create,"Create new tenants in Microsoft Entra ID"
Usage Summary Reports Reader,microsoft.office365.network/performance/allProperties/read,"Read all network performance properties in the Microsoft 365 admin center"
Usage Summary Reports Reader,microsoft.office365.usageReports/allEntities/standard/read,"Read tenant-level aggregated Office 365 usage reports"
Usage Summary Reports Reader,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
User Administrator,microsoft.azure.serviceHealth/allEntities/allTasks,"Read and configure Azure Service Health"
User Administrator,microsoft.azure.supportTickets/allEntities/allTasks,"Create and manage Azure support tickets"
User Administrator,microsoft.directory/accessReviews/definitions.applications/allProperties/allTasks,"Manage access reviews of application role assignments in Microsoft Entra ID"
User Administrator,microsoft.directory/accessReviews/definitions.directoryRoles/allProperties/read,"Read all properties of access reviews for Microsoft Entra role assignments"
User Administrator,microsoft.directory/accessReviews/definitions.entitlementManagement/allProperties/allTasks,"Manage access reviews for access package assignments in entitlement management"
User Administrator,microsoft.directory/accessReviews/definitions.groups/allProperties/read,"Read all properties of access reviews for membership in Security and Microsoft 365 groups, including role-assignable groups."
User Administrator,microsoft.directory/accessReviews/definitions.groups/allProperties/update,"Update all properties of access reviews for membership in Security and Microsoft 365 groups, excluding role-assignable groups."
User Administrator,microsoft.directory/accessReviews/definitions.groups/create,"Create access reviews for membership in Security and Microsoft 365 groups."
User Administrator,microsoft.directory/accessReviews/definitions.groups/delete,"Delete access reviews for membership in Security and Microsoft 365 groups."
User Administrator,microsoft.directory/contacts/basic/update,"Update basic properties on contacts"
User Administrator,microsoft.directory/contacts/create,"Create contacts"
User Administrator,microsoft.directory/contacts/delete,"Delete contacts"
User Administrator,microsoft.directory/deletedItems.groups/restore,"Restore soft deleted groups to original state"
User Administrator,microsoft.directory/deletedItems.users/restore,"Restore soft deleted users to original state"
User Administrator,microsoft.directory/entitlementManagement/allProperties/allTasks,"Create and delete resources, and read and update all properties in Microsoft Entra entitlement management"
User Administrator,microsoft.directory/groups/assignLicense,"Assign product licenses to groups for group-based licensing"
User Administrator,microsoft.directory/groups/basic/update,"Update basic properties on Security groups and Microsoft 365 groups, excluding role-assignable groups"
User Administrator,microsoft.directory/groups/classification/update,"Update the classification property on Security groups and Microsoft 365 groups, excluding role-assignable groups"
User Administrator,microsoft.directory/groups/create,"Create Security groups and Microsoft 365 groups, excluding role-assignable groups"
User Administrator,microsoft.directory/groups/delete,"Delete Security groups and Microsoft 365 groups, excluding role-assignable groups"
User Administrator,microsoft.directory/groups/dynamicMembershipRule/update,"Update the dynamic membership rule on Security groups and Microsoft 365 groups, excluding role-assignable groups"
User Administrator,microsoft.directory/groups/groupType/update,"Update properties that would affect the group type of Security groups and Microsoft 365 groups, excluding role-assignable groups"
User Administrator,microsoft.directory/groups/hiddenMembers/read,"Read hidden members of Security groups and Microsoft 365 groups, including role-assignable groups"
User Administrator,microsoft.directory/groups/members/update,"Update members of Security groups and Microsoft 365 groups, excluding role-assignable groups"
User Administrator,microsoft.directory/groups/onPremWriteBack/update,"Update Microsoft Entra groups to be written back to on-premises with Microsoft Entra Connect"
User Administrator,microsoft.directory/groups/owners/update,"Update owners of Security groups and Microsoft 365 groups, excluding role-assignable groups"
User Administrator,microsoft.directory/groups/reprocessLicenseAssignment,"Reprocess license assignments for group-based licensing"
User Administrator,microsoft.directory/groups/restore,"Restore groups from soft-deleted container"
User Administrator,microsoft.directory/groups/settings/update,"Update settings of groups"
User Administrator,microsoft.directory/groups/visibility/update,"Update the visibility property of Security groups and Microsoft 365 groups, excluding role-assignable groups"
User Administrator,microsoft.directory/oAuth2PermissionGrants/allProperties/allTasks,"Create and delete OAuth 2.0 permission grants, and read and update all properties"
User Administrator,microsoft.directory/onPremisesSynchronization/standard/read,"Read standard on-premises directory synchronization information"
User Administrator,microsoft.directory/policies/standard/read,"Read basic properties on policies"
User Administrator,microsoft.directory/servicePrincipals/appRoleAssignedTo/update,"Update service principal role assignments"
User Administrator,microsoft.directory/users/assignLicense,"Manage user licenses"
User Administrator,microsoft.directory/users/basic/update,"Update basic properties on users"
User Administrator,microsoft.directory/users/convertExternalToInternalMemberUser,"Convert external user to internal user"
User Administrator,microsoft.directory/users/create,"Add users"
User Administrator,microsoft.directory/users/delete,"Delete users"
User Administrator,microsoft.directory/users/disable,"Disable users"
User Administrator,microsoft.directory/users/enable,"Enable users"
User Administrator,microsoft.directory/users/invalidateAllRefreshTokens,"Force sign-out by invalidating user refresh tokens"
User Administrator,microsoft.directory/users/inviteGuest,"Invite guest users"
User Administrator,microsoft.directory/users/lifeCycleInfo/read,"Read lifecycle information of users, such as employeeLeaveDateTime"
User Administrator,microsoft.directory/users/manager/update,"Update manager for users"
User Administrator,microsoft.directory/users/password/update,"Reset passwords for all users"
User Administrator,microsoft.directory/users/photo/update,"Update photo of users"
User Administrator,microsoft.directory/users/reprocessLicenseAssignment,"Reprocess license assignments for users"
User Administrator,microsoft.directory/users/restore,"Restore deleted users"
User Administrator,microsoft.directory/users/sponsors/update,"Update sponsors of users"
User Administrator,microsoft.directory/users/usageLocation/update,"Update usage location of users"
